epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.88965,1.16401,2.93557,1.45529,0.2931,0.31409,0.29357,0.18662,1.25438,2.50853,1.72199,0.000469718,0.000469718,0.000469718
2,16.8901,1.18803,2.23565,1.47606,0.39544,0.41618,0.37339,0.22209,1.39707,2.53273,1.99131,0.000922636,0.000922636,0.000922636
3,24.8399,1.18597,2.04202,1.46361,0.29902,0.57006,0.37508,0.23103,1.34434,2.89746,1.80994,0.00135198,0.00135198,0.00135198
4,32.6756,1.18002,1.88739,1.44383,0.21976,0.38509,0.1852,0.0918,1.64482,3.33609,2.13456,0.0013229,0.0013229,0.0013229
5,40.7122,1.15674,1.74695,1.42234,0.51925,0.49985,0.50864,0.32261,1.2554,1.92664,1.68665,0.00128753,0.00128753,0.00128753
6,48.4998,1.11329,1.58205,1.38048,0.49917,0.56668,0.53263,0.31344,1.315,2.00266,1.68629,0.00125216,0.00125216,0.00125216
7,56.1435,1.08449,1.53952,1.37295,0.60696,0.67876,0.68017,0.45291,1.21796,1.54077,1.66423,0.00121679,0.00121679,0.00121679
8,63.7038,1.06011,1.42526,1.34806,0.54699,0.50141,0.51694,0.3586,1.15067,1.77037,1.57051,0.00118143,0.00118143,0.00118143
9,70.8454,1.02644,1.3363,1.32896,0.67322,0.63147,0.66758,0.44019,1.15884,1.38816,1.57596,0.00114606,0.00114606,0.00114606
10,78.1357,1.00145,1.32267,1.31184,0.7207,0.64681,0.69953,0.47402,1.22203,1.46711,1.6916,0.00111069,0.00111069,0.00111069
11,85.4874,0.97649,1.21355,1.28529,0.69822,0.64211,0.70749,0.50171,1.11026,1.288,1.53873,0.00107532,0.00107532,0.00107532
12,92.701,0.97463,1.20262,1.29028,0.79515,0.70049,0.77861,0.57202,0.95251,1.08387,1.39696,0.00103995,0.00103995,0.00103995
13,100.869,0.94967,1.17118,1.26325,0.70211,0.66177,0.72104,0.51363,1.00955,1.30682,1.41359,0.00100459,0.00100459,0.00100459
14,108.866,0.91065,1.10689,1.24599,0.78346,0.73812,0.80888,0.59534,0.97843,1.03497,1.40713,0.000969219,0.000969219,0.000969219
15,116.938,0.89811,1.09916,1.23299,0.58725,0.72908,0.74177,0.55103,0.94164,1.3043,1.37605,0.000933851,0.000933851,0.000933851
16,124.262,0.89992,1.0997,1.23238,0.72601,0.76428,0.80132,0.5707,1.0689,1.06811,1.48322,0.000898484,0.000898484,0.000898484
17,131.167,0.86388,1.01558,1.21674,0.77891,0.77528,0.85407,0.66247,0.87851,0.90746,1.31657,0.000863116,0.000863116,0.000863116
18,138.114,0.86216,0.98694,1.21856,0.83098,0.76374,0.84701,0.65642,0.87442,0.86654,1.30986,0.000827748,0.000827748,0.000827748
19,144.721,0.85423,0.94905,1.20375,0.8148,0.76656,0.84827,0.66307,0.85237,0.92683,1.3064,0.00079238,0.00079238,0.00079238
20,151.396,0.82108,0.91588,1.18975,0.8114,0.76771,0.86577,0.66729,0.85037,0.90229,1.30323,0.000757013,0.000757013,0.000757013
21,158.366,0.82367,0.93454,1.17173,0.83745,0.75211,0.85643,0.66958,0.85295,0.92369,1.2947,0.000721645,0.000721645,0.000721645
22,165.642,0.80434,0.91348,1.17172,0.86849,0.77564,0.87221,0.69012,0.82326,0.79525,1.27203,0.000686277,0.000686277,0.000686277
23,172.837,0.77937,0.86228,1.15801,0.88892,0.78614,0.89074,0.70055,0.83366,0.77532,1.29133,0.000650909,0.000650909,0.000650909
24,179.693,0.78711,0.85694,1.1567,0.88179,0.80841,0.90761,0.70188,0.87796,0.73611,1.33841,0.000615542,0.000615542,0.000615542
25,186.552,0.78109,0.82424,1.15375,0.90391,0.82396,0.90789,0.72255,0.81303,0.71454,1.28556,0.000580174,0.000580174,0.000580174
26,193.501,0.77174,0.82048,1.14973,0.88225,0.85835,0.91425,0.74459,0.77001,0.6419,1.21304,0.000544806,0.000544806,0.000544806
27,200.265,0.7594,0.78959,1.13536,0.90881,0.81375,0.90184,0.72835,0.76425,0.70035,1.20216,0.000509438,0.000509438,0.000509438
28,207.07,0.73524,0.75706,1.123,0.91,0.86951,0.93306,0.74634,0.76674,0.627,1.20654,0.000474071,0.000474071,0.000474071
29,213.639,0.7237,0.72748,1.11523,0.91128,0.85896,0.92459,0.7573,0.74271,0.63062,1.20399,0.000438703,0.000438703,0.000438703
30,220.118,0.71961,0.73201,1.11415,0.91243,0.85379,0.93287,0.74794,0.76643,0.62144,1.23082,0.000403335,0.000403335,0.000403335
31,242.982,0.64113,0.68029,1.13237,0.87341,0.867,0.91443,0.73561,0.74672,0.61508,1.20334,0.000367967,0.000367967,0.000367967
32,249.6,0.61761,0.61533,1.11478,0.90859,0.8827,0.94151,0.75777,0.72839,0.59489,1.18055,0.0003326,0.0003326,0.0003326
33,256.459,0.6109,0.56445,1.1099,0.90475,0.8692,0.92937,0.7632,0.74228,0.60723,1.17943,0.000297232,0.000297232,0.000297232
34,263.128,0.58563,0.54211,1.0743,0.94688,0.84479,0.93496,0.77508,0.67628,0.57992,1.13083,0.000261864,0.000261864,0.000261864
35,269.819,0.56849,0.51841,1.07464,0.9212,0.89362,0.94576,0.79194,0.66054,0.53609,1.10783,0.000226497,0.000226497,0.000226497
36,276.314,0.56401,0.51842,1.07436,0.91901,0.87938,0.94971,0.79069,0.66498,0.52917,1.11454,0.000191129,0.000191129,0.000191129
37,283.049,0.53795,0.46972,1.05155,0.94379,0.88571,0.95134,0.80012,0.65406,0.49961,1.10113,0.000155761,0.000155761,0.000155761
38,289.768,0.53873,0.46657,1.0543,0.94508,0.86409,0.95052,0.80351,0.63854,0.51839,1.09601,0.000120393,0.000120393,0.000120393
39,296.301,0.51644,0.43357,1.03904,0.94041,0.87988,0.95397,0.81076,0.63481,0.48219,1.08782,8.50255e-05,8.50255e-05,8.50255e-05
40,302.876,0.50818,0.43033,1.03441,0.95257,0.89409,0.95575,0.81313,0.62173,0.47296,1.07977,4.96578e-05,4.96578e-05,4.96578e-05
