epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,284.735,0.68609,0.65628,1.09018,0.9051,0.86759,0.93157,0.76359,0.72525,0.59149,1.14667,0.000462281,0.000462281,0.000462281
43,291.789,0.67742,0.64808,1.08893,0.89906,0.89199,0.9441,0.77675,0.70795,0.5531,1.16145,0.000438703,0.000438703,0.000438703
44,298.79,0.66609,0.62345,1.08646,0.89781,0.88181,0.93775,0.7719,0.69946,0.56878,1.14665,0.000415124,0.000415124,0.000415124
45,305.893,0.65442,0.62655,1.07847,0.90308,0.89592,0.94367,0.78883,0.67881,0.54572,1.1309,0.000391546,0.000391546,0.000391546
46,313.397,0.63714,0.59502,1.07548,0.87204,0.88948,0.94398,0.7857,0.6861,0.56933,1.12884,0.000367967,0.000367967,0.000367967
47,320.102,0.64757,0.60136,1.0656,0.91103,0.89847,0.94464,0.79502,0.66498,0.52983,1.11596,0.000344389,0.000344389,0.000344389
48,326.953,0.61708,0.58222,1.05817,0.92609,0.89621,0.94721,0.79587,0.67179,0.5403,1.13329,0.00032081,0.00032081,0.00032081
49,333.785,0.63699,0.58667,1.06438,0.93613,0.88583,0.95259,0.79909,0.66251,0.5202,1.12206,0.000297232,0.000297232,0.000297232
50,340.411,0.62408,0.56931,1.0581,0.94339,0.89486,0.95014,0.80258,0.64466,0.49927,1.09887,0.000273654,0.000273654,0.000273654
51,363.998,0.55262,0.51268,1.06535,0.89824,0.90255,0.94686,0.8012,0.63844,0.50502,1.08822,0.000250075,0.000250075,0.000250075
52,370.975,0.52653,0.45978,1.04438,0.93951,0.8763,0.94706,0.80199,0.6444,0.50919,1.09353,0.000226497,0.000226497,0.000226497
53,377.774,0.52625,0.43916,1.04073,0.91719,0.90017,0.95202,0.80834,0.6424,0.49347,1.09243,0.000202918,0.000202918,0.000202918
54,384.716,0.52437,0.42838,1.04241,0.93809,0.89594,0.95466,0.81209,0.62291,0.47293,1.06441,0.00017934,0.00017934,0.00017934
55,391.601,0.51009,0.41918,1.02915,0.88966,0.92821,0.95517,0.80786,0.62677,0.4724,1.07561,0.000155761,0.000155761,0.000155761
56,398.555,0.48974,0.40003,1.00798,0.94569,0.89876,0.96081,0.81752,0.60692,0.45502,1.0595,0.000132183,0.000132183,0.000132183
57,405.403,0.48018,0.39797,1.0122,0.92603,0.92762,0.96388,0.82031,0.61116,0.43694,1.05887,0.000108604,0.000108604,0.000108604
58,412.17,0.48245,0.38365,1.00125,0.93565,0.92202,0.96125,0.82889,0.59032,0.43383,1.04676,8.50255e-05,8.50255e-05,8.50255e-05
59,419.003,0.47288,0.37051,1.0029,0.92611,0.92747,0.96162,0.82762,0.58895,0.42676,1.04532,6.1447e-05,6.1447e-05,6.1447e-05
60,425.793,0.46714,0.36949,1.00445,0.94002,0.91974,0.96202,0.82639,0.59076,0.42789,1.05158,3.78685e-05,3.78685e-05,3.78685e-05
