epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,105.976,0.89811,1.09916,1.23299,0.58725,0.72908,0.74177,0.55103,0.94164,1.3043,1.37605,0.000933851,0.000933851,0.000933851
16,113.004,0.89992,1.0997,1.23238,0.72601,0.76428,0.80132,0.5707,1.0689,1.06811,1.48322,0.000898484,0.000898484,0.000898484
17,120.294,0.86388,1.01558,1.21674,0.77891,0.77528,0.85407,0.66247,0.87851,0.90746,1.31657,0.000863116,0.000863116,0.000863116
18,127.442,0.86216,0.98694,1.21856,0.83098,0.76374,0.84701,0.65642,0.87442,0.86654,1.30986,0.000827748,0.000827748,0.000827748
19,134.7,0.85423,0.94905,1.20375,0.8148,0.76656,0.84827,0.66307,0.85237,0.92683,1.3064,0.00079238,0.00079238,0.00079238
20,141.943,0.82108,0.91588,1.18975,0.8114,0.76771,0.86577,0.66729,0.85037,0.90229,1.30323,0.000757013,0.000757013,0.000757013
21,148.652,0.82367,0.93454,1.17173,0.83745,0.75211,0.85643,0.66958,0.85295,0.92369,1.2947,0.000721645,0.000721645,0.000721645
22,155.301,0.80434,0.91348,1.17172,0.86849,0.77564,0.87221,0.69012,0.82326,0.79525,1.27203,0.000686277,0.000686277,0.000686277
23,162.384,0.77937,0.86228,1.15801,0.88892,0.78614,0.89074,0.70055,0.83366,0.77532,1.29133,0.000650909,0.000650909,0.000650909
24,169.384,0.78711,0.85694,1.1567,0.88179,0.80841,0.90761,0.70188,0.87796,0.73611,1.33841,0.000615542,0.000615542,0.000615542
25,176.188,0.78109,0.82424,1.15375,0.90391,0.82396,0.90789,0.72255,0.81303,0.71454,1.28556,0.000580174,0.000580174,0.000580174
26,182.95,0.77174,0.82048,1.14973,0.88225,0.85835,0.91425,0.74459,0.77001,0.6419,1.21304,0.000544806,0.000544806,0.000544806
27,189.714,0.7594,0.78959,1.13536,0.90881,0.81375,0.90184,0.72835,0.76425,0.70035,1.20216,0.000509438,0.000509438,0.000509438
28,196.485,0.73524,0.75706,1.123,0.91,0.86951,0.93306,0.74634,0.76674,0.627,1.20654,0.000474071,0.000474071,0.000474071
29,203.315,0.7237,0.72748,1.11523,0.91128,0.85896,0.92459,0.7573,0.74271,0.63062,1.20399,0.000438703,0.000438703,0.000438703
30,209.945,0.71961,0.73201,1.11415,0.91243,0.85379,0.93287,0.74794,0.76643,0.62144,1.23082,0.000403335,0.000403335,0.000403335
31,233.296,0.64113,0.68029,1.13237,0.87341,0.867,0.91443,0.73561,0.74672,0.61508,1.20334,0.000367967,0.000367967,0.000367967
32,239.819,0.61761,0.61533,1.11478,0.90859,0.8827,0.94151,0.75777,0.72839,0.59489,1.18055,0.0003326,0.0003326,0.0003326
33,246.37,0.6109,0.56445,1.1099,0.90475,0.8692,0.92937,0.7632,0.74228,0.60723,1.17943,0.000297232,0.000297232,0.000297232
34,252.807,0.58563,0.54211,1.0743,0.94688,0.84479,0.93496,0.77508,0.67628,0.57992,1.13083,0.000261864,0.000261864,0.000261864
35,259.277,0.56849,0.51841,1.07464,0.9212,0.89362,0.94576,0.79194,0.66054,0.53609,1.10783,0.000226497,0.000226497,0.000226497
36,266.846,0.56401,0.51842,1.07436,0.91901,0.87938,0.94971,0.79069,0.66498,0.52917,1.11454,0.000191129,0.000191129,0.000191129
37,273.56,0.53795,0.46972,1.05155,0.94379,0.88571,0.95134,0.80012,0.65406,0.49961,1.10113,0.000155761,0.000155761,0.000155761
38,282.389,0.53873,0.46657,1.0543,0.94508,0.86409,0.95052,0.80351,0.63854,0.51839,1.09601,0.000120393,0.000120393,0.000120393
39,290.58,0.51644,0.43357,1.03904,0.94041,0.87988,0.95397,0.81076,0.63481,0.48219,1.08782,8.50255e-05,8.50255e-05,8.50255e-05
40,297.381,0.50818,0.43033,1.03441,0.95257,0.89409,0.95575,0.81313,0.62173,0.47296,1.07977,4.96578e-05,4.96578e-05,4.96578e-05
